bases mapped,causalcall,crf-fast,bonito,rubicon
acinetobacter,114159528,116676714,110907740,111405897
haemophilus_haemolyticus_M1C132_1,1196297,69835297,64816196,63415299
klebsiella_pneumoniae_INF032,542123428,553975581,533045454,536724002
klebsiella_pneumoniae_INF042,545245844,559498328,520086673,525620193
klebsiella_pneumoniae_KSB2_1B,401041491,415885786,384436100,388897351
klebsiella_pneumoniae_NUH29,243112795,249155485,229123038,231523267
serratia_marcescens_17,104864058,141422506,133916776,134916360
staphylococcus_aureus_CAS38_02_fast5s,236529129,242289179,237020597,237521476
stenotrophomonas_maltophilia_17_G_0092_Kos,501018868,507714213,470408299,474401853
