mismatches,causalcall,crf-fast,bonito,rubicon
acinetobacter,18221827,15056986,11588985,11418588
haemophilus_haemolyticus_M1C132_1,261858,9965460,8242611,8386702
klebsiella_pneumoniae_INF032,84127044,81093359,65409674,63627057
klebsiella_pneumoniae_INF042,89886061,86978047,69755648,68487981
klebsiella_pneumoniae_KSB2_1B,66655053,65300061,51884418,51179592
klebsiella_pneumoniae_NUH29,43583555,37539418,30692808,30285786
serratia_marcescens_17,16118472,17719828,13824299,13455573
staphylococcus_aureus_CAS38_02_fast5s,35780855,24451119,18420398,18501870
stenotrophomonas_maltophilia_17_G_0092_Kos,93210703,80445640,65477614,63842395
